language1,language2,paradigm1,paradigm2,common_actors
Batchfile,Arduino,scripted,imperative,1
Batchfile,Fortran,scripted,imperative,1
Batchfile,Elixir,scripted,functional,0
Batchfile,Groovy,scripted,functional,0
Batchfile,Haskell,scripted,functional,0
Batchfile,Clojure,scripted,functional,0
Batchfile,Erlang,scripted,functional,0
Batchfile,OCaml,scripted,functional,0
Batchfile,Common Lisp,scripted,functional,0
Batchfile,HTML,scripted,declarative,9
Batchfile,CSS,scripted,declarative,3
Batchfile,XSLT,scripted,declarative,0
Batchfile,Elm,scripted,declarative,0
Batchfile,PLpgSQL,scripted,declarative,0
Batchfile,Nix,scripted,declarative,0
PHP,Roff,procedural,undefined,0
PHP,SaltStack,procedural,undefined,5
PHP,Vala,procedural,undefined,3
PHP,Shell,procedural,scripted,217
PHP,PowerShell,procedural,scripted,5
PHP,Vim script,procedural,scripted,1
PHP,Emacs Lisp,procedural,scripted,3
PHP,Batchfile,procedural,scripted,4
PHP,PHP,procedural,procedural,9834
PHP,C++,procedural,procedural,60
PHP,JavaScript,procedural,oob,875
PHP,Python,procedural,oob,235
PHP,Java,procedural,oob,170
PHP,Ruby,procedural,oob,157
PHP,C#,procedural,oob,59
PHP,TypeScript,procedural,oob,61
PHP,Objective-C,procedural,oob,15
PHP,Jupyter Notebook,procedural,oob,2
PHP,Kotlin,procedural,oob,5
PHP,Dart,procedural,oob,2
PHP,Go,procedural,multi,74
PHP,Swift,procedural,multi,13
PHP,Scala,procedural,multi,6
PHP,R,procedural,multi,2
PHP,Rust,procedural,multi,12
PHP,Perl,procedural,multi,23
PHP,Lua,procedural,multi,9
PHP,CoffeeScript,procedural,multi,19
PHP,Matlab,procedural,multi,0
PHP,Julia,procedural,multi,1
PHP,Visual Basic,procedural,multi,4
PHP,D,procedural,multi,2
PHP,F#,procedural,multi,1
PHP,Assembly,procedural,machine,1
PHP,C,procedural,imperative,75
PHP,Arduino,procedural,imperative,4
PHP,Fortran,procedural,imperative,0
PHP,Elixir,procedural,functional,6
PHP,Groovy,procedural,functional,2
PHP,Haskell,procedural,functional,5
PHP,Clojure,procedural,functional,2
PHP,Erlang,procedural,functional,5
PHP,OCaml,procedural,functional,2
PHP,Common Lisp,procedural,functional,0
PHP,HTML,procedural,declarative,458
PHP,CSS,procedural,declarative,336
PHP,XSLT,procedural,declarative,15
PHP,Elm,procedural,declarative,4
PHP,PLpgSQL,procedural,declarative,4
PHP,Nix,procedural,declarative,1
C++,Roff,procedural,undefined,6
C++,SaltStack,procedural,undefined,2
C++,Vala,procedural,undefined,2
C++,Shell,procedural,scripted,218
C++,PowerShell,procedural,scripted,15
C++,Vim script,procedural,scripted,5
C++,Emacs Lisp,procedural,scripted,10
C++,Batchfile,procedural,scripted,12
C++,PHP,procedural,procedural,60
C++,C++,procedural,procedural,8228
C++,JavaScript,procedural,oob,315
C++,Python,procedural,oob,598
C++,Java,procedural,oob,211
C++,Ruby,procedural,oob,64
C++,C#,procedural,oob,111
C++,TypeScript,procedural,oob,45
C++,Objective-C,procedural,oob,39
C++,Jupyter Notebook,procedural,oob,36
C++,Kotlin,procedural,oob,7
C++,Dart,procedural,oob,15
C++,Go,procedural,multi,75
C++,Swift,procedural,multi,27
C++,Scala,procedural,multi,18
C++,R,procedural,multi,21
C++,Rust,procedural,multi,37
C++,Perl,procedural,multi,34
C++,Lua,procedural,multi,39
C++,CoffeeScript,procedural,multi,17
C++,Matlab,procedural,multi,7
C++,Julia,procedural,multi,7
C++,Visual Basic,procedural,multi,6
C++,D,procedural,multi,5
C++,F#,procedural,multi,4
C++,Assembly,procedural,machine,5
C++,C,procedural,imperative,429
C++,Arduino,procedural,imperative,19
C++,Fortran,procedural,imperative,12
C++,Elixir,procedural,functional,2
C++,Groovy,procedural,functional,5
C++,Haskell,procedural,functional,15
C++,Clojure,procedural,functional,5
C++,Erlang,procedural,functional,9
C++,OCaml,procedural,functional,7
C++,Common Lisp,procedural,functional,5
C++,HTML,procedural,declarative,197
C++,CSS,procedural,declarative,89
C++,XSLT,procedural,declarative,14
C++,Elm,procedural,declarative,3
C++,PLpgSQL,procedural,declarative,6
C++,Nix,procedural,declarative,7
JavaScript,Roff,oob,undefined,14
JavaScript,SaltStack,oob,undefined,6
JavaScript,Vala,oob,undefined,4
JavaScript,Shell,oob,scripted,635
JavaScript,PowerShell,oob,scripted,44
JavaScript,Vim script,oob,scripted,29
JavaScript,Emacs Lisp,oob,scripted,19
JavaScript,Batchfile,oob,scripted,13
JavaScript,PHP,oob,procedural,875
JavaScript,C++,oob,procedural,315
JavaScript,JavaScript,oob,oob,34128
JavaScript,Python,oob,oob,1464
JavaScript,Java,oob,oob,1065
JavaScript,Ruby,oob,oob,966
JavaScript,C#,oob,oob,328
JavaScript,TypeScript,oob,oob,788
JavaScript,Objective-C,oob,oob,206
JavaScript,Jupyter Notebook,oob,oob,58
JavaScript,Kotlin,oob,oob,23
JavaScript,Dart,oob,oob,9
JavaScript,Go,oob,multi,388
JavaScript,Swift,oob,multi,107
JavaScript,Scala,oob,multi,113
JavaScript,R,oob,multi,39
JavaScript,Rust,oob,multi,77
JavaScript,Perl,oob,multi,45
JavaScript,Lua,oob,multi,17
JavaScript,CoffeeScript,oob,multi,146
JavaScript,Matlab,oob,multi,3
JavaScript,Julia,oob,multi,3
JavaScript,Visual Basic,oob,multi,8
JavaScript,D,oob,multi,1
JavaScript,F#,oob,multi,6
JavaScript,Assembly,oob,machine,7
JavaScript,C,oob,imperative,228
JavaScript,Arduino,oob,imperative,12
JavaScript,Fortran,oob,imperative,3
JavaScript,Elixir,oob,functional,61
JavaScript,Groovy,oob,functional,55
JavaScript,Haskell,oob,functional,35
JavaScript,Clojure,oob,functional,27
JavaScript,Erlang,oob,functional,19
JavaScript,OCaml,oob,functional,14
JavaScript,Common Lisp,oob,functional,0
JavaScript,HTML,oob,declarative,2677
JavaScript,CSS,oob,declarative,1647
JavaScript,XSLT,oob,declarative,21
JavaScript,Elm,oob,declarative,24
JavaScript,PLpgSQL,oob,declarative,31
JavaScript,Nix,oob,declarative,5
Python,Roff,oob,undefined,12
Python,SaltStack,oob,undefined,22
Python,Vala,oob,undefined,5
Python,Shell,oob,scripted,825
Python,PowerShell,oob,scripted,30
Python,Vim script,oob,scripted,32
Python,Emacs Lisp,oob,scripted,16
Python,Batchfile,oob,scripted,15
Python,PHP,oob,procedural,235
Python,C++,oob,procedural,598
Python,JavaScript,oob,oob,1464
Python,Python,oob,oob,19641
Python,Java,oob,oob,473
Python,Ruby,oob,oob,344
Python,C#,oob,oob,110
Python,TypeScript,oob,oob,118
Python,Objective-C,oob,oob,31
Python,Jupyter Notebook,oob,oob,310
Python,Kotlin,oob,oob,17
Python,Dart,oob,oob,3
Python,Go,oob,multi,333
Python,Swift,oob,multi,40
Python,Scala,oob,multi,63
Python,R,oob,multi,41
Python,Rust,oob,multi,72
Python,Perl,oob,multi,68
Python,Lua,oob,multi,31
Python,CoffeeScript,oob,multi,36
Python,Matlab,oob,multi,26
Python,Julia,oob,multi,14
Python,Visual Basic,oob,multi,5
Python,D,oob,multi,4
Python,F#,oob,multi,2
Python,Assembly,oob,machine,8
Python,C,oob,imperative,406
Python,Arduino,oob,imperative,22
Python,Fortran,oob,imperative,21
Python,Elixir,oob,functional,15
Python,Groovy,oob,functional,54
Python,Haskell,oob,functional,25
Python,Clojure,oob,functional,19
Python,Erlang,oob,functional,21
Python,OCaml,oob,functional,7
Python,Common Lisp,oob,functional,6
Python,HTML,oob,declarative,881
Python,CSS,oob,declarative,435
Python,XSLT,oob,declarative,18
Python,Elm,oob,declarative,8
Python,PLpgSQL,oob,declarative,17
Python,Nix,oob,declarative,4
Java,Roff,oob,undefined,18
Java,SaltStack,oob,undefined,2
Java,Vala,oob,undefined,2
Java,Shell,oob,scripted,369
Java,PowerShell,oob,scripted,9
Java,Vim script,oob,scripted,6
Java,Emacs Lisp,oob,scripted,11
Java,Batchfile,oob,scripted,9
Java,PHP,oob,procedural,170
Java,C++,oob,procedural,211
Java,JavaScript,oob,oob,1065
Java,Python,oob,oob,473
Java,Java,oob,oob,17556
Java,Ruby,oob,oob,192
Java,C#,oob,oob,133
Java,TypeScript,oob,oob,176
Java,Objective-C,oob,oob,129
Java,Jupyter Notebook,oob,oob,23
Java,Kotlin,oob,oob,121
